Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
1047,6,50,1,1,0,1,male- single,Less than $200,paid back previous credits at this bank,repair,no savings,1 to 4 years,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
1471,15,35,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
5511,24,25,1,1,0,1,male- single,greater than $200,no previous credits,used car,less than 100,1 to 4 years,less than 20,none,less than 1,savings,department stores,owner-occupied flat,one,skilled
1206,9,25,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
6403,24,33,1,1,0,1,male- single,no balance or debit,no problems with current credits at this bank,items of furniture,no savings,less than one year,greater than 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
707,12,30,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,other banks,owner-occupied flat,two or three,skilled
1503,12,41,1,1,0,1,female,greater than $200,no problems with current credits at this bank,new car,no savings,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,free apartment,one,skilled
6078,12,32,1,1,0,1,male- single,no balance or debit,no previous credits,other,no savings,4  to 7 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
2528,27,32,1,0,1,1,male- single,no balance or debit,no previous credits,retraining,no savings,less than one year,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
1037,12,39,1,1,0,1,male- single,no balance or debit,no previous credits,retraining,less than 100,4  to 7 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
1352,6,23,1,1,1,1,male- single,no running account,no previous credits,new car,100 to 500,unemployed,greater than 35,none,1 to 4,car/other,no running credits,free apartment,one,unemployed
3181,24,26,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,less than one year,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
4594,18,32,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,less than one year,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
5381,48,40,1,1,1,1,male- single,no balance or debit,no previous credits,new carother,greater than 1000,unemployed,20 and 25,none,greater than 7,house/land,other banks,rented flat,one,unemployed
4657,15,30,1,1,1,1,male- single,greater than $200,no previous credits,new car,no savings,1 to 4 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1391,9,27,1,1,1,1,female,no balance or debit,no previous credits,retraining,no savings,1 to 4 years,25 and 35,none,less than 1,no assets,other banks,owner-occupied flat,one,skilled
1913,18,36,1,1,1,1,female,no balance or debit,no previous credits,retraining,500 to 1000,less than one year,20 and 25,none,4 to 7,no assets,other banks,owner-occupied flat,one,skilled
7166,42,29,1,1,1,1,female,greater than $200,no previous credits,items of furniture,greater than 1000,4  to 7 years,25 and 35,none,greater than 7,car/other,no running credits,free apartment,one,skilled
1409,13,64,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,unemployed,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
2978,24,32,1,0,1,1,male- single,greater than $200,no problems with current credits at this bank,retraining,greater than 1000,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
976,12,35,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
2375,24,44,1,0,1,1,male- single,greater than $200,no problems with current credits at this bank,retraining,100 to 500,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
522,12,42,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,100 to 500,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
2743,28,29,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
1154,11,57,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,less than 100,unemployed,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,four or five,unskilled
5804,24,27,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,new car,500 to 1000,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
1169,18,29,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,1 to 4 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
1478,15,44,1,0,1,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
776,12,28,1,1,0,1,female,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1322,11,40,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,other,500 to 1000,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
1175,16,68,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,other,no savings,unemployed,25 and 35,none,4 to 7,savings,no running credits,rented flat,four or five,unemployed
2133,12,52,1,1,1,1,male- single,greater than $200,no previous credits,other,greater than 1000,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,executive
1829,15,46,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
717,12,52,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,four or five,skilled
11760,39,32,1,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,repair,less than 100,4  to 7 years,25 and 35,none,4 to 7,house/land,no running credits,free apartment,one,skilled
1501,9,34,0,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,repair,no savings,more than 7 years,25 and 35,none,4 to 7,savings,no running credits,owner-occupied flat,two or three,executive
1200,12,23,1,1,1,1,male- single,no running account,no previous credits,repair,greater than 1000,1 to 4 years,less than 20,none,greater than 7,car/other,other banks,free apartment,one,skilled
3195,9,33,1,1,0,1,male- single,no balance or debit,no previous credits,other,greater than 1000,1 to 4 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
4530,30,26,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,less than 20,none,greater than 7,savings,no running credits,free apartment,one,executive
1555,12,55,0,0,0,1,male- single,greater than $200,no problems with current credits at this bank,household appliances,500 to 1000,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
2326,15,27,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,retraining,100 to 500,1 to 4 years,25 and 35,none,greater than 7,savings,other banks,owner-occupied flat,one,skilled
1887,18,28,1,1,0,1,female,no balance or debit,paid back previous credits at this bank,retraining,greater than 1000,1 to 4 years,less than 20,none,greater than 7,no assets,other banks,owner-occupied flat,two or three,skilled
1264,12,57,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,retraining,greater than 1000,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,free apartment,one,unskilled
846,7,36,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,items of furniture,greater than 1000,more than 7 years,20 and 25,none,greater than 7,house/land,no running credits,rented flat,one,skilled
1532,15,31,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,repair,less than 100,1 to 4 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
935,6,24,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,items of furniture,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
2442,27,43,1,0,1,1,male- single,no running account,paid back previous credits at this bank,retraining,no savings,more than 7 years,less than 20,none,greater than 7,savings,department stores,owner-occupied flat,six or more,executive
3590,18,40,1,0,1,1,female,no balance or debit,paid back previous credits at this bank,retraining,no savings,unemployed,20 and 25,none,4 to 7,savings,no running credits,owner-occupied flat,four or five,unemployed
2288,21,23,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,less than one year,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
5117,27,26,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,retraining,no savings,4  to 7 years,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
14179,39,30,1,1,1,1,male- single,no running account,paid back previous credits at this bank,used car,greater than 1000,4  to 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,executive
1386,15,40,1,1,1,1,female,greater than $200,no previous credits,items of furniture,greater than 1000,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,free apartment,one,skilled
618,12,56,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
